日期,累计确诊,全国新增确诊,湖北新增确诊,累计疑似,新增疑似,现有重症,新增重症,累计死亡,全国新增死亡,湖北新增死亡,累计治愈,全国新增治愈,湖北新增治愈,当日密切接触,当日解除观察,累计继续观察,累计入境,新增入境
2020/1/21,440,149,105,136,26,95,32,9,3,3,28,3,3,458,90,1394,0,0
2020/1/22,571,131,69,393,257,95,0,17,8,8,28,0,0,3700,204,4928,0,0
2020/1/23,830,259,105,1073,680,177,82,25,8,7,34,6,3,3610,118,8420,0,0
2020/1/24,1287,444,180,1965,1118,237,60,41,16,15,38,4,1,5690,143,13967,0,0
2020/1/25,1975,688,323,2684,1309,324,87,56,15,13,49,11,10,8234,325,21556,0,0
2020/1/26,2744,769,371,5794,3806,461,137,80,24,24,51,2,2,9368,583,30453,0,0
2020/1/27,4547,1771,1291,6973,2077,976,515,106,26,24,60,9,3,15034,914,44132,0,0
2020/1/28,5974,1459,840,9239,3248,1239,263,132,26,25,103,43,33,17704,1604,59990,0,0
2020/1/29,7711,1737,1032,12167,4148,1370,131,170,38,37,124,21,10,23156,2364,81947,0,0
2020/1/30,9692,1982,1220,15238,4812,1527,157,213,43,42,171,47,26,26625,4201,102427,0,0
2020/1/31,11791,2102,1347,17988,5019,1795,268,259,46,45,243,72,50,23408,6509,118478,0,0
2020/2/1,14380,2590,1921,19544,4562,2110,315,304,45,45,328,85,49,26857,8044,137594,0,0
2020/2/2,17205,2829,2103,21558,5173,2296,186,361,57,56,475,147,80,25739,10055,152700,0,0
2020/2/3,20438,3235,2345,23214,5072,2788,492,425,64,64,632,157,101,31432,12755,171329,0,0
2020/2/4,24324,3887,3156,23260,3971,3219,431,490,65,65,892,262,125,31139,18457,185555,0,0
2020/2/5,28018,3694,2987,24702,5328,3859,640,563,73,70,1153,261,113,30659,21365,186354,0,0
2020/2/6,28985,3143,2447,26359,4833,4821,962,636,73,69,1540,387,184,31673,26762,186045,0,0
2020/2/7,31774,3399,2841,27657,4214,6101,1280,722,86,81,2050,510,298,31470,26702,189660,0,0
2020/2/8,33738,2656,2147,28942,3916,6188,87,811,89,81,2649,600,324,30107,31124,188183,0,0
2020/2/9,35982,3062,2618,23589,4008,6484,296,908,97,91,3281,632,356,31192,29307,187518,0,0
2020/2/10,37626,2478,2097,21675,3536,7333,849,1016,108,103,3996,716,427,34641,26724,187728,0,0
2020/2/11,38800,2015,1638,16067,3342,8204,871,1113,97,94,4740,744,417,9566,30068,185037,0,0
2020/2/12,52526,15152,14840,13435,2807,8030,0,1367,254,242,5911,1171,802,20069,29429,181386,0,0
2020/2/13,55748,5090,4823,10109,2450,10204,2174,1380,121,116,6723,1081,690,21536,26905,177984,0,0
2020/2/14,56873,2641,2420,8969,2277,11053,849,1523,143,139,8096,1373,912,20116,30081,169039,0,0
2020/2/15,68500,2009,1843,8228,1918,11272,219,1665,142,139,9419,1323,849,16235,29788,158764,0,0
2020/2/16,70548,2048,1933,7264,1563,10644,0,1770,105,100,10844,1425,1016,16598,28179,150539,0,0
2020/2/17,72436,1886,1807,6242,1432,11741,1097,1868,98,93,12552,1701,1223,14885,27908,141552,0,0
2020/2/18,74185,1749,1693,5248,1185,11977,236,2004,136,132,14376,1824,1266,13517,25014,135881,0,0
2020/2/19,75002,820,775,4922,1277,11864,0,2118,114,108,16157,1779,1209,14745,25318,126363,0,0
2020/2/20,75891,889,631,5206,1614,11633,0,2236,118,115,18266,2109,1451,16874,28804,120302,0,0
2020/2/21,76288,397,366,5365,1361,11477,0,2345,109,106,20659,2393,1767,12878,26441,113564,0,0
2020/2/22,76936,648,630,4148,882,10968,0,2442,97,96,22888,2230,1742,9602,22128,106089,0,0
2020/2/23,77150,409,398,3434,620,9915,0,2592,150,149,24734,1846,1439,7014,16758,97481,0,0
2020/2/24,77658,508,499,2824,530,9126,0,2663,71,68,27323,2589,2116,6211,15758,87902,0,0
2020/2/25,78064,406,401,2491,439,8752,0,2715,52,52,29745,2422,2058,5664,14573,79108,0,0
2020/2/26,78497,433,409,2358,508,8346,0,2744,29,26,32495,2750,2288,4768,12823,71572,0,0
2020/2/27,78824,327,318,2308,452,7952,0,2788,44,41,36117,3622,3203,3880,10525,65225,0,0
2020/2/28,79251,427,423,1418,248,7664,0,2835,47,45,39002,2885,2492,2533,10193,58233,0,0
2020/2/29,79824,573,570,851,132,7365,0,2870,35,34,41625,2623,2292,2129,8620,51856,0,0
2020/3/1,80026,202,196,715,141,7110,0,2912,42,42,44462,2837,2570,2524,8154,46219,9,2
2020/3/2,80151,125,114,587,129,6806,0,2943,31,31,47204,2742,2410,1659,7650,40651,16,7
2020/3/3,80270,119,115,520,143,6416,0,2981,38,37,49856,2652,2389,1498,6250,36432,18,2
2020/3/4,80409,139,134,522,143,5952,0,3012,31,31,52045,2189,1923,2628,6584,32870,20,2
2020/3/5,80552,143,126,482,102,5737,0,3042,30,29,53726,1681,1487,1829,5457,29896,36,16
2020/3/6,80651,99,74,502,99,5489,0,3070,28,28,55404,1678,1502,1604,4773,26730,60,24
2020/3/7,80695,44,41,458,84,5264,0,3097,27,27,57065,1661,1543,1580,4021,23074,63,3
2020/3/8,80735,40,36,421,60,5111,0,3119,22,21,58600,1535,1422,722,3802,20146,67,4
2020/3/9,80754,19,17,349,36,4794,0,3136,17,17,59897,1297,1152,578,4148,16982,69,2
2020/3/10,80778,24,13,285,31,4492,0,3158,22,22,61475,1578,1471,548,3235,14607,79,10
2020/3/11,80793,15,8,253,33,4257,0,3169,11,10,62793,1318,1242,1357,2206,13701,85,6
2020/3/12,80813,8,5,147,33,4020,0,3176,7,6,64111,1318,1255,845,2483,12161,88,3
2020/3/13,80824,11,4,115,17,3610,0,3189,13,13,65541,1430,1390,847,2174,10879,95,7
2020/3/14,80844,20,4,113,39,3226,0,3199,10,10,66911,1370,1335,824,1409,10189,111,16
2020/3/15,80860,16,4,134,41,3032,0,3213,14,14,67749,838,816,703,1316,9582,123,12
2020/3/16,80881,21,1,128,45,2830,0,3226,13,12,68679,930,893,942,1105,9351,143,20
2020/3/17,80894,13,1,119,21,2622,0,3237,11,11,69601,922,896,923,1014,9222,155,12
2020/3/18,80928,34,0,105,23,2314,0,3245,8,8,70420,819,795,954,1032,9144,189,34
2020/3/19,80967,39,0,104,31,2136,0,3248,3,2,71150,730,703,1050,1197,8989,228,39
2020/3/20,81008,41,0,106,36,1963,0,3255,7,7,71740,590,561,1535,1191,9371,269,41
2020/3/21,81054,46,0,118,45,1845,0,3261,6,5,72244,504,490,1814,1110,10071,314,45
2020/3/22,81093,39,0,136,47,1749,0,3270,9,9,72703,459,447,1313,661,10701,353,39
2020/3/23,81171,78,1,132,35,1573,0,3277,7,7,73159,456,444,2192,769,12077,427,74
2020/3/24,81218,47,0,134,33,1399,0,3281,4,3,73650,491,487,2038,1215,13356,474,47
2020/3/25,81285,67,0,159,58,1235,0,3287,6,6,74051,401,391,2082,721,14714,541,67
2020/3/26,81340,55,0,189,49,1034,0,3292,5,5,74588,537,530,2165,837,16005,595,54
2020/3/27,81394,54,0,184,29,921,0,3295,3,3,74971,383,367,1926,758,17198,649,54
2020/3/28,81439,45,0,174,28,742,0,3300,5,5,75448,477,467,2488,1097,18581,693,44
2020/3/29,81470,31,0,168,17,633,0,3304,4,4,75770,322,317,2306,1575,19235,723,30
2020/3/30,81518,48,0,183,44,528,0,3305,1,1,76052,282,271,1827,1199,19853,771,48
2020/3/31,81554,36,1,172,26,466,0,3312,7,6,76238,186,173,1896,1418,20314,806,35
2020/4/1,81589,35,0,153,20,429,0,3318,6,6,76408,170,145,1657,1898,20072,841,35
2020/4/2,81620,31,0,135,12,379,0,3322,4,4,76571,163,141,1415,1990,19533,870,29
2020/4/3,81639,19,1,114,11,331,0,3326,4,4,76751,180,150,1103,2346,18286,888,18
2020/4/4,81669,30,0,107,11,295,0,3329,3,3,76964,213,183,1022,1869,17436,913,25
2020/4/5,81708,39,0,88,10,265,0,3331,1,1,77078,114,69,878,2151,16154,951,38
2020/4/6,81740,32,0,89,12,211,0,3331,0,0,77167,89,59,732,2365,14499,983,32
2020/4/7,81802,62,0,83,12,189,0,3333,2,1,77279,112,69,1134,2295,13334,1042,59
2020/4/8,81865,63,0,73,17,176,0,3335,2,2,77370,91,45,1035,1848,12510,1103,61
2020/4/9,81907,42,0,53,3,144,0,3336,1,1,77455,85,49,489,1823,11176,1141,38
2020/4/10,81953,46,0,44,8,141,0,3339,3,3,77525,70,28,672,1141,10435,1183,42
2020/4/11,82052,99,0,82,49,139,0,3339,0,0,77575,50,17,831,1534,9722,1280,97
2020/4/12,82160,108,0,72,6,121,0,3341,2,2,77663,88,57,1027,1092,9655,1378,98
2020/4/13,82249,89,0,72,3,116,0,3341,0,0,77738,75,25,636,1674,8612,1464,86
2020/4/14,82295,46,0,73,11,113,0,3342,1,1,77816,78,39,751,1058,8309,1500,36
2020/4/15,82341,46,0,63,4,95,0,3342,0,0,77892,76,33,712,521,8484,1534,34
2020/4/16,82367,26,0,62,3,89,0,3342,0,0,77944,52,17,902,412,8970,1549,15
2020/4/17,82719,27,0,63,5,85,0,4632,0,0,77029,50,7,926,986,8893,1566,17
2020/4/18,82735,16,0,48,2,85,0,4632,0,0,77062,33,13,1015,1073,8632,1575,9
2020/4/19,82747,12,0,43,2,81,0,4632,0,0,77084,22,4,964,904,8694,1583,8
2020/4/20,82758,11,0,37,3,82,1,4632,0,0,77123,39,3,983,882,8791,1587,4
2020/4/21,82788,30,0,35,3,78,0,4632,0,0,77151,28,5,792,784,8796,1610,23
2020/4/22,82798,10,0,20,0,63,0,4632,0,0,77207,56,28,460,824,8429,1616,6
2020/4/23,82804,6,0,20,2,57,0,4632,0,0,77257,50,22,541,607,8362,1618,2
2020/4/24,82816,12,0,17,3,49,0,4632,0,0,77346,89,24,697,566,8493,1629,11
2020/4/25,82827,11,0,12,0,51,2,4632,0,0,77394,48,11,598,779,8308,1634,5
2020/4/26,82830,3,0,10,5,52,1,4633,0,0,77474,80,12,644,508,8443,1636,2
2020/4/27,82836,6,0,9,1,50,0,4633,0,0,77555,81,0,486,915,8014,1639,3
2020/4/28,82858,22,0,10,2,50,0,4633,0,0,77578,23,0,895,627,8283,1660,21
2020/4/29,82862,4,0,10,3,41,0,4633,0,0,77610,32,0,459,708,8032,1664,4
2020/4/30,82874,12,0,9,3,38,0,4633,0,0,77642,32,0,597,882,7761,1670,6
2020/5/1,82875,1,0,11,2,37,0,4633,0,0,77685,43,0,767,650,7873,1671,1
2020/5/2,82877,2,0,10,0,34,0,4633,0,0,77713,28,0,548,882,7539,1672,1
2020/5/3,82880,3,0,3,1,33,0,4633,0,0,77766,53,0,485,632,7392,1675,3
2020/5/4,82881,1,0,2,0,29,0,4633,0,0,77853,87,0,474,710,7152,1676,1
2020/5/5,82883,2,0,5,3,26,0,4633,0,0,77911,58,0,337,517,6973,1678,2
2020/5/6,82885,2,0,4,2,23,0,4633,0,0,77957,46,0,160,627,6537,1680,2
2020/5/7,82886,1,0,6,3,18,0,4633,0,0,77933,36,0,273,645,6167,1680,0
2020/5/8,82887,1,0,8,2,15,0,4633,0,0,78046,53,0,362,670,5859,1681,1
2020/5/9,82901,14,1,4,1,13,0,4633,0,0,78120,74,0,415,427,5840,1683,2
2020/5/10,82918,17,5,3,0,9,0,4633,0,0,78144,24,0,340,678,5501,1690,7
2020/5/11,82919,1,0,3,1,10,1,4633,0,0,78171,27,0,472,503,5470,1691,1
2020/5/12,82926,7,0,4,1,10,0,4633,0,0,78189,18,0,302,455,5317,1692,1
2020/5/13,82929,3,0,4,0,9,0,4633,0,0,78195,6,0,361,387,5291,1692,0
2020/5/14,82933,4,0,4,1,11,2,4633,0,0,78209,14,0,429,509,5211,1692,0
2020/5/15,82941,8,0,3,2,11,0,4633,0,0,78219,10,0,587,745,5053,1698,6
2020/5/16,82947,5,0,4,2,10,0,4634,0,0,78227,8,0,267,633,4724,1700,2
2020/5/17,82954,7,0,4,1,8,0,4634,0,0,78238,11,0,509,246,4970,1704,4
2020/5/18,82960,6,1,3,1,10,2,4634,0,0,78241,3,0,374,292,5054,1707,3
2020/5/19,82965,5,0,7,3,9,0,4634,0,0,78244,3,0,186,328,4893,1708,1
2020/5/20,82967,2,0,7,1,8,0,4634,0,0,78249,5,0,353,308,4864,1709,1
2020/5/21,82971,4,0,7,1,8,0,4634,0,0,78255,6,0,377,255,4958,1711,2
2020/5/22,82971,0,0,6,2,9,1,4634,0,0,78258,3,0,352,252,5085,1711,0
2020/5/23,82974,3,0,9,3,8,0,4634,0,0,78261,3,0,349,280,5154,1713,2
2020/5/24,82985,11,0,7,0,6,0,4634,0,0,78268,7,1,461,461,5152,1724,11
2020/5/25,82992,7,0,7,0,5,0,4634,0,0,78277,9,0,682,218,5616,1731,7
2020/5/26,82993,1,0,5,0,6,1,4634,0,0,78280,3,1,398,218,5796,1732,1
2020/5/27,82995,2,0,4,0,5,0,4634,0,0,78288,8,0,213,368,5641,1734,2
2020/5/28,82995,0,0,4,0,5,0,4634,0,0,78291,3,0,429,479,5591,1734,0
2020/5/29,82999,4,0,3,0,5,1,4634,0,0,78302,11,1,262,308,5545,1738,4
2020/5/30,83001,2,0,3,0,4,0,4634,0,0,78304,2,0,203,565,5183,1740,2
2020/5/31,83017,16,0,3,0,3,0,4634,0,0,78307,3,1,454,914,4723,1756,16
2020/6/1,83022,5,0,3,0,2,0,4634,0,0,78315,8,0,466,547,4642,1761,5
2020/6/2,83021,1,0,2,0,3,1,4634,0,0,78314,1,0,337,370,4609,1762,1
2020/6/3,83022,1,0,2,0,3,0,4634,0,0,78319,5,0,134,383,4360,1763,1
2020/6/4,83027,5,0,1,0,2,0,4634,0,0,78327,8,3,265,508,4117,1768,5
2020/6/5,83030,3,0,2,1,1,0,4634,0,0,78329,2,0,262,488,3890,1771,3
2020/6/6,83036,6,0,3,2,0,0,4634,0,0,78332,3,0,133,633,3389,1776,5
2020/6/7,83040,4,0,4,1,0,0,4634,0,0,78341,9,0,322,479,3232,1780,4
2020/6/8,83043,3,0,1,0,0,0,4634,0,0,78351,10,0,166,396,2971,1783,3
2020/6/9,83046,3,0,2,1,0,0,4634,0,0,78357,6,0,448,527,2892,1786,3
2020/6/10,83057,11,0,1,0,0,0,4634,0,0,78361,4,0,2807,358,3179,1797,11
2020/6/11,83064,7,0,1,0,0,0,4634,0,0,78365,4,0,187,206,3124,1803,6
2020/6/12,83075,11,0,1,0,0,0,4634,0,0,78367,2,0,709,635,3197,1808,5
2020/6/13,83132,57,0,2,1,1,1,4634,0,0,78369,2,0,704,542,3358,1827,19
2020/6/14,83181,49,0,3,1,2,1,4634,0,0,78370,1,0,891,392,3852,1837,10
2020/6/15,83221,40,0,4,3,5,3,4634,0,0,78377,7,0,858,225,4340,1845,8
2020/6/16,83265,44,0,7,3,7,2,4634,0,0,78379,2,0,433,116,4683,1856,11
2020/6/17,83293,28,0,7,3,9,2,4634,0,0,78394,15,0,697,153,5220,1860,4
2020/6/18,83325,32,0,7,2,13,4,4634,0,0,78398,4,0,866,227,5856,1864,4
2020/6/19,83352,27,0,11,4,13,0,4634,0,0,78410,12,0,391,232,6023,1868,4
2020/6/20,83378,26,0,13,3,15,2,4634,0,0,78413,3,0,742,397,6339,1869,1
2020/6/21,83396,18,0,15,2,12,0,4634,0,0,78413,0,0,1058,144,7236,1876,7
2020/6/22,83418,22,0,15,2,13,1,4634,0,0,78425,12,0,695,328,7591,1885,9
2020/6/23,83430,12,0,18,4,12,0,4634,0,0,78428,3,0,561,584,7557,1888,3
2020/6/24,83449,19,0,13,0,15,3,4634,0,0,78433,5,0,878,415,8011,1893,5
2020/6/25,83462,13,0,10,3,8,0,4634,0,0,78439,6,0,661,625,8044,1895,2
2020/6/26,83483,21,0,8,1,8,0,4634,0,0,78444,5,0,626,791,7876,1899,4
2020/6/27,83500,17,0,8,1,8,0,4634,0,0,78451,7,0,277,692,7445,1902,3
2020/6/28,83512,12,0,10,4,8,0,4634,0,0,78460,9,0,398,824,7012,1907,5
2020/6/29,83531,19,0,7,1,7,0,4634,0,0,78469,9,0,257,458,6809,1918,11
2020/6/30,83534,3,0,8,2,7,0,4634,0,0,78479,10,0,368,703,6479,1918,0
2020/7/1,83537,3,0,5,0,7,0,4634,0,0,78487,8,0,196,754,5910,1920,2
2020/7/2,83542,5,0,6,1,8,1,4634,0,0,78499,12,0,137,453,5589,1923,3
2020/7/3,83545,3,0,7,2,6,0,4634,0,0,78509,10,0,200,794,4993,1925,2
2020/7/4,83553,8,0,7,1,6,0,4634,0,0,78516,7,0,280,1072,4201,1931,6
2020/7/5,83557,4,0,7,0,6,0,4634,0,0,78518,2,0,244,455,3988,1934,3
2020/7/6,83565,8,0,7,2,7,1,4634,0,0,78528,10,0,685,254,3940,1942,8
2020/7/7,83572,7,0,7,0,7,0,4634,0,0,78548,20,0,526,231,4214,1949,7
2020/7/8,83581,9,0,5,0,5,0,4634,0,0,78590,42,0,332,706,3840,1958,9
2020/7/9,83585,4,0,8,3,4,0,4634,0,0,78609,19,0,271,311,3796,1962,4
2020/7/10,83587,2,0,8,0,3,0,4634,0,0,78623,14,0,319,533,3580,1964,2
2020/7/11,83594,7,0,7,0,3,0,4634,0,0,78634,11,0,395,235,3739,1971,7
2020/7/12,83602,8,0,7,0,3,0,4634,0,0,78648,14,0,293,538,3494,1979,8
2020/7/13,83605,3,0,7,0,3,0,4634,0,0,78674,26,0,281,508,3267,1982,3
2020/7/14,83611,6,0,3,0,3,0,4634,0,0,78693,19,0,529,219,3577,1988,6
2020/7/15,83612,1,0,3,0,3,0,4634,0,0,78719,26,0,100,364,3313,1989,1
2020/7/16,83622,10,0,3,0,3,0,4634,0,0,78737,18,0,384,46,3651,1998,9
2020/7/17,83644,22,0,4,1,3,0,4634,0,0,78758,21,0,554,129,4072,2004,6
2020/7/18,83660,16,0,4,1,3,0,4634,0,0,78775,17,0,3119,212,6925,2007,3
2020/7/19,83682,22,0,4,1,5,2,4634,0,0,78799,24,0,744,465,7204,2012,5
2020/7/20,83693,11,0,1,0,7,2,4634,0,0,78817,18,0,155,251,7108,2015,3
2020/7/21,83707,14,0,1,0,6,0,4634,0,0,78840,23,0,316,434,6988,2020,5
2020/7/22,83729,22,0,5,3,11,5,4634,0,0,78855,15,0,608,378,7218,2023,3
2020/7/23,83750,21,0,2,1,12,1,4634,0,0,78873,18,0,390,66,7526,2029,6
2020/7/24,83784,34,0,2,2,11,0,4634,0,0,78889,16,0,4250,256,11500,2034,5
2020/7/25,83830,46,0,3,2,18,7,4634,0,0,78908,19,0,948,673,11762,2045,11
2020/7/26,83891,61,0,3,0,21,3,4634,0,0,78918,10,0,2406,228,13935,2049,4
2020/7/27,83959,68,0,1,0,20,0,4634,0,0,78934,16,0,878,184,14590,2053,4
2020/7/28,84060,101,0,1,0,25,5,4634,0,0,78944,10,0,769,325,15034,2056,3
2020/7/29,84165,105,0,2,1,33,8,4634,0,0,78957,13,0,3904,584,18353,2059,3
2020/7/30,84292,127,0,2,1,41,8,4634,0,0,78974,17,0,378,279,18461,2063,4
2020/7/31,84337,45,0,2,0,39,0,4634,0,0,78989,15,0,2407,589,20278,2069,6
2020/8/1,84385,49,0,2,0,36,0,4634,0,0,79003,14,0,1312,145,21445,2085,16
2020/8/2,84428,43,0,4,3,35,0,4634,0,0,79013,10,0,722,560,20585,2092,7
2020/8/3,84464,36,0,5,1,36,1,4634,0,0,79030,17,0,705,547,21743,2098,6
2020/8/4,84491,27,0,3,0,36,0,4634,0,0,79047,17,0,1684,408,23018,2103,5
2020/8/5,84528,37,0,2,0,34,0,4634,0,0,79057,10,0,1442,474,23985,2110,7
2020/8/6,84565,37,0,3,2,36,2,4634,0,0,79088,31,0,2829,313,26499,2120,10
2020/8/7,84596,31,0,7,5,42,6,4634,0,0,79123,35,0,1265,407,27357,2126,6
2020/8/8,84619,23,0,6,0,43,1,4634,0,0,79168,45,0,567,2102,25822,2134,8
2020/8/9,84668,49,0,7,1,41,0,4634,0,0,79232,64,0,541,2305,24055,2169,35
2020/8/10,84712,44,0,3,2,44,3,4634,0,0,79284,52,0,1464,1729,23790,2200,31
2020/8/11,84737,25,0,3,1,40,0,4634,0,0,79342,58,0,635,1385,23039,2216,16
2020/8/12,84756,19,0,4,1,41,1,4634,0,0,79398,56,0,743,1284,22498,2227,11
2020/8/13,84786,30,0,5,2,39,0,4634,0,0,79462,64,0,529,1567,21456,2249,22
2020/8/14,84808,22,0,3,1,36,0,4634,0,0,79519,57,0,895,1905,20441,2263,14
2020/8/15,84827,19,0,3,1,34,0,4634,0,0,79575,56,0,782,1290,19933,2278,15
2020/8/16,84849,22,0,4,2,30,0,4634,0,0,79603,28,0,792,1517,19207,2300,22
2020/8/17,84871,22,0,3,0,27,0,4634,0,0,79642,39,0,734,1464,18473,2322,22
2020/8/18,84888,17,0,2,0,26,0,4634,0,0,79685,43,0,622,2002,17093,2339,17
2020/8/19,84895,7,0,2,0,24,0,4634,0,0,79745,60,0,710,1430,16369,2346,7
2020/8/20,84917,22,0,0,0,20,0,4634,0,0,79792,47,0,494,2264,14599,2368,22
2020/8/21,84939,22,0,1,1,19,0,4634,0,0,79851,59,0,847,1141,14305,2390,22
2020/8/22,84951,12,0,3,2,16,0,4634,0,0,79895,44,0,903,1478,13730,2402,14
2020/8/23,84967,16,0,2,1,14,0,4634,0,0,79925,30,0,865,1375,13220,2418,16
2020/8/24,84981,14,0,2,0,10,0,4634,0,0,79961,36,0,444,1294,12370,2432,14
2020/8/25,84996,15,0,0,0,7,0,4634,0,0,80015,54,0,794,1249,11915,2447,15
2020/8/26,85004,8,0,1,1,4,0,4634,0,0,80046,31,0,509,1189,11227,2455,8
2020/8/27,85013,9,0,3,2,4,0,4634,0,0,80091,45,0,468,1654,10040,2464,9
2020/8/28,85022,9,0,0,0,4,0,4634,0,0,80126,35,0,394,1286,9148,2473,9
2020/8/29,85031,9,0,0,0,4,0,4634,0,0,80153,27,0,202,1559,7787,2482,9
2020/8/30,85048,17,0,0,0,4,0,4634,0,0,80177,24,0,217,814,7190,2499,17
2020/8/31,85058,10,0,0,0,3,0,4634,0,0,80208,31,0,888,532,7546,2509,10
